Project Name;Ticket;Priority;Severity;Category;Status;Opening Date;Date of Resolution;Acknowledge SLA;Resolution SLA;Application;Environment;MD's;Problem;Country;Close Date;Closed Admin;SM Audit;
Farmacia Arrocha;0108517;P3;incident;Application;closed;2026-02-11;;0;45;XStore;PRD;0,13;;N/A;2026-02-19 09:02:46;Y;;
Farmacia Arrocha;0108544;P2;incident;Application;closed;2026-02-11;2026-02-24 22:58:27;0;3277;XStore;PRD;0,34;108896;N/A;2026-03-04 09:03:41;Y;;
Farmacia Arrocha;0108545;P2;incident;Application;closed;2026-02-11;;0;14355;XStore;PRD;0,00;;N/A;2026-03-28 09:03:48;Y;;
Farmacia Arrocha;0108550;P2;incident;Application;closed;2026-02-11;;0;1086;XStore;PRD;0,03;;N/A;2026-03-04 09:03:42;Y;;
Farmacia Arrocha;0108565;P2;incident;Application;closed;2026-02-11;;0;327;XStore;PRD;0,06;;N/A;2026-02-20 09:02:47;Y;;
Farmacia Arrocha;0108619;P2;user_request;Application;closed;2026-02-12;;0;1034;XStore;PRD;0,13;;N/A;2026-03-20 09:03:41;Y;;
Farmacia Arrocha;0108634;P2;incident;Integration;closed;2026-02-13;;0;351;XStore;PRD;0,19;;N/A;2026-03-04 09:03:42;Y;;
Farmacia Arrocha;0108675;P2;user_request;Application;closed;2026-02-13;;0;720;XStore;QA;0,09;;N/A;2026-04-04 09:04:51;Y;;
Farmacia Arrocha;0108689;P2;user_request;Application;closed;2026-02-13;2026-05-08 13:48:56;0;579;XStore;QA;0,00;;N/A;2026-05-08 13:05:28;N;;
Farmacia Arrocha;0108701;P1;incident;Application;closed;2026-02-14;2026-02-16 15:58:14;0;3573;XStore;PRD;0,06;108778;N/A;2026-02-24 09:02:42;Y;;
Farmacia Arrocha;0108721;P1;incident;Application;closed;2026-02-15;2026-02-15 04:28:45;0;18;XStore;PRD;0,06;71964;N/A;2026-02-23 09:02:43;Y;;
Farmacia Arrocha;0108727;P1;incident;Application;closed;2026-02-16;2026-02-16 15:08:58;0;670;XStore;PRD;0,16;108773;N/A;2026-02-24 09:02:43;Y;;
Farmacia Arrocha;0108773;P1;problem;Application;closed;2026-02-16;2026-02-18 01:46:18;0;2079;XStore;PRD;0,00;;N/A;2026-04-04 09:04:19;N;;
Farmacia Arrocha;0108778;P1;problem;Application;closed;2026-02-16;2026-02-16 15:58:41;0;2;XStore;PRD;0,00;;N/A;2026-04-04 09:04:10;N;;
Farmacia Arrocha;0108896;P2;problem;Application;resolved;2026-02-18;2026-04-14 18:46:58;0;;XStore;PRD;0,13;;N/A;;N;;
Farmacia Arrocha;0108931;P2;incident;Application;closed;2026-02-19;2026-02-19 17:26:06;0;176;XStore;PRD;0,16;108944;N/A;2026-02-26 13:02:48;N;;
Farmacia Arrocha;0108944;P2;problem;Application;closed;2026-02-19;2026-02-19 17:26:38;0;3;XStore;PRD;0,00;;N/A;2026-04-11 09:04:16;N;;
Farmacia Arrocha;0109016;P2;incident;Support;closed;2026-02-20;;0;206;XStore;PRD;0,13;;N/A;2026-03-04 09:03:43;Y;;
Farmacia Arrocha;0109079;P2;user_request;Application;closed;2026-02-23;;0;891;XStore;PRD;0,53;;N/A;2026-03-06 09:03:46;Y;;
Farmacia Arrocha;0109142;P2;user_request;Application;closed;2026-02-24;2026-02-26 16:28:38;0;251;ORCE;QA;0,09;;N/A;2026-02-26 16:02:47;N;;
Farmacia Arrocha;0109164;P2;incident;Application;closed;2026-02-24;;0;116;XStore;PRD;0,06;108896;N/A;2026-03-11 09:03:42;Y;;
Farmacia Arrocha;0109166;P2;incident;Application;closed;2026-02-24;;0;93;XStore;PRD;0,03;;N/A;2026-03-04 09:03:45;Y;;
Farmacia Arrocha;0109182;P1;incident;Application;closed;2026-02-25;2026-02-25 03:57:16;0;13;XStore;PRD;0,06;109183;N/A;2026-03-05 09:03:50;Y;;
Farmacia Arrocha;0109183;P1;problem;Application;closed;2026-02-25;2026-02-25 03:57:14;0;2;XStore;PRD;0,00;;N/A;2026-04-11 09:04:12;N;;
Farmacia Arrocha;0109593;P1;incident;Application;closed;2026-03-04;;0;19;XStore;PRD;0,06;;N/A;2026-03-12 09:03:49;Y;;
Farmacia Arrocha;0109707;P2;incident;Application;closed;2026-03-05;2026-03-16 20:19:53;0;2627;XStore;PRD;0,31;110232;N/A;2026-03-24 09:03:45;Y;;
Farmacia Arrocha;0109713;P2;incident;Application;closed;2026-03-05;2026-03-17 12:09:10;0;2427;XStore;PRD;1,88;110256;N/A;2026-03-23 15:03:24;N;;
Farmacia Arrocha;0109822;P2;user_request;Application;acknowledged;2026-03-09;;0;;XStore;QA;0,00;;N/A;2026-03-20 09:03:42;Y;;
Farmacia Arrocha;0109863;P2;incident;Application;closed;2026-03-09;;0;1257;XStore;QA;0,06;;N/A;2026-03-20 09:03:42;Y;;
Farmacia Arrocha;0109918;P2;incident;Application;closed;2026-03-10;2026-03-12 21:58:57;0;128;XStore;PRD;0,00;110069;N/A;2026-03-12 21:03:50;N;;
Farmacia Arrocha;0109925;P2;incident;Application;closed;2026-03-10;2026-03-12 22:32:04;0;659;XStore;PRD;0,25;109987;N/A;2026-03-17 13:03:31;N;;
Farmacia Arrocha;0109978;P2;user_request;Application;closed;2026-03-11;;0;240;XStore;PRD;0,22;;N/A;2026-03-31 09:03:42;Y;;
Farmacia Arrocha;0109980;P2;incident;Application;closed;2026-03-11;2026-03-12 22:26:40;0;193;XStore;PRD;0,06;109989;N/A;2026-03-20 09:03:43;Y;;
Farmacia Arrocha;0109987;P2;problem;Application;closed;2026-03-11;2026-03-12 22:32:40;0;97;XStore;PRD;0,25;;N/A;2026-05-02 09:05:20;N;;
Farmacia Arrocha;0109988;P2;incident;Application;closed;2026-03-11;2026-03-12 22:37:18;0;318;XStore;QA;0,09;110070;N/A;2026-03-20 09:03:44;Y;;
Farmacia Arrocha;0109989;P2;problem;Application;waiting_client_feedback;2026-03-11;;0;;XStore;PRD;0,00;;N/A;;N;;
Farmacia Arrocha;0110090;P2;problem;Application;closed;2026-03-13;2026-03-13 12:47:53;0;0;APP;PRD;0,00;;N/A;2026-05-02 09:05:15;N;;
Farmacia Arrocha;0110151;P1;incident;Application;closed;2026-03-14;2026-03-14 22:00:14;0;14;XStore;PRD;0,03;110152;N/A;2026-03-22 09:03:49;Y;;
Farmacia Arrocha;0110154;P1;incident;Application;closed;2026-03-15;2026-03-16 15:05:19;0;2272;XStore;PRD;0,06;110202;N/A;2026-03-24 09:03:47;Y;;
Farmacia Arrocha;0110198;P2;incident;Application;closed;2026-03-16;;0;955;XStore;PRD;0,50;;N/A;2026-04-01 09:04:42;Y;;
Farmacia Arrocha;0110200;P2;incident;Application;closed;2026-03-16;;0;1045;XStore;PRD;0,13;;N/A;2026-04-03 09:04:48;Y;;
Farmacia Arrocha;0110207;P2;user_request;Application;acknowledged;2026-03-16;;0;;XStore;PRD;0,13;;N/A;;N;;
Farmacia Arrocha;0110228;P3;incident;Support;closed;2026-03-16;;0;50;XStore;PRD;0,06;;N/A;2026-03-24 09:03:48;Y;;
Farmacia Arrocha;0110256;P2;problem;Application;waiting_client_feedback;2026-03-17;;0;;XStore;PRD;0,06;;N/A;;N;;
Farmacia Arrocha;0110347;P2;incident;Integration;closed;2026-03-18;2026-03-19 19:08:37;0;878;XStore;PRD;0,19;110421;N/A;2026-03-27 09:03:36;Y;;
Farmacia Arrocha;0110402;P2;incident;Application;closed;2026-03-19;2026-03-19 20:34:12;0;424;XStore;QA;0,03;110425;N/A;2026-03-23 15:03:27;N;;
Farmacia Arrocha;0110421;P2;problem;Integration;waiting_client_feedback;2026-03-19;;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0110434;P2;problem;Application;closed;2026-03-20;2026-03-20 09:23:30;0;0;XStore;PRD;0,00;;N/A;2026-05-06 13:05:59;N;;
Farmacia Arrocha;0110560;P2;user_request;Application;closed;2026-03-23;;0;214;XStore;QA;0,00;;N/A;2026-04-03 09:04:49;Y;;
Farmacia Arrocha;0110561;P2;incident;Application;closed;2026-03-23;2026-03-25 22:56:32;0;454;XStore;QA;0,22;110699;N/A;2026-03-26 21:03:24;N;;
Farmacia Arrocha;0110564;P2;user_request;Application;closed;2026-03-23;2026-03-30 18:31:51;0;831;XStore;PRD;0,41;;N/A;2026-04-07 09:04:50;Y;;
Farmacia Arrocha;0110602;P2;incident;Application;rejected;2026-03-24;;;;XStore;;0,03;;N/A;;N;;
Farmacia Arrocha;0110603;P2;incident;Application;closed;2026-03-24;;0;183;XStore;QA;0,03;;N/A;2026-04-01 09:04:48;Y;;
Farmacia Arrocha;0110629;P2;incident;Application;closed;2026-03-24;2026-03-24 18:32:17;0;50;XStore;PRD;0,09;110632;N/A;2026-04-01 09:04:49;Y;;
Farmacia Arrocha;0110748;P2;incident;Application;closed;2026-03-26;2026-03-27 22:10:00;0;350;XStore;QA;0,22;110830;N/A;2026-04-01 22:04:29;N;;
Farmacia Arrocha;0110751;P2;incident;Application;closed;2026-03-26;;0;260;XStore;QA;0,03;;N/A;2026-04-10 09:04:50;Y;;
Farmacia Arrocha;0110769;P2;user_request;Support;closed;2026-03-26;2026-03-26 23:08:43;0;100;XStore;PRD;0,03;;N/A;2026-04-03 09:04:52;Y;;
Farmacia Arrocha;0110776;P3;user_request;Application;closed;2026-03-27;2026-03-27 15:24:32;0;28;XStore;PRD;0,06;;N/A;2026-03-27 16:03:33;N;;
Farmacia Arrocha;0110810;P2;incident;Application;closed;2026-03-27;2026-03-27 22:06:38;0;142;XStore;PRD;0,13;110829;N/A;2026-04-01 22:04:30;N;;
Farmacia Arrocha;0110823;P2;user_request;Application;closed;2026-03-27;2026-03-31 15:02:01;0;80;XStore;QA;0,88;;N/A;2026-04-08 09:04:53;Y;;
Farmacia Arrocha;0110830;P2;problem;Application;resolved;2026-03-27;2026-03-27 22:09:38;0;;XStore;QA;0,03;;N/A;;N;;
Farmacia Arrocha;0110862;P1;incident;Application;closed;2026-03-30;2026-03-30 15:11:39;0;542;XStore;PRD;0,09;110891;N/A;2026-04-06 15:04:23;N;;
Farmacia Arrocha;0110884;P2;incident;Application;closed;2026-03-30;2026-03-31 14:16:11;0;181;XStore;PRD;1,06;110951;N/A;2026-04-06 14:04:16;N;;
Farmacia Arrocha;0110891;P1;problem;Application;waiting_client_feedback;2026-03-30;;0;;XStore;PRD;0,00;;N/A;;N;;
Farmacia Arrocha;0110951;P2;problem;Application;resolved;2026-03-31;2026-04-02 13:42:59;0;;XStore;PRD;0,09;;N/A;;N;;
Farmacia Arrocha;0110967;P2;user_request;Application;closed;2026-03-31;2026-03-31 22:01:31;0;311;XStore;PRD;0,06;;N/A;2026-04-06 14:04:16;N;;
Farmacia Arrocha;0110976;P2;incident;Application;closed;2026-03-31;;0;3087;XStore;PRD;0,19;;N/A;2026-04-17 09:04:35;Y;;
Farmacia Arrocha;0110978;P2;incident;Application;closed;2026-03-31;;0;1492;XStore;PRD;0,16;;N/A;2026-04-22 09:04:41;Y;;
Farmacia Arrocha;0110995;P2;incident;Application;closed;2026-03-31;;0;1458;XStore;PRD;0,00;;N/A;2026-04-07 20:04:15;N;;
Farmacia Arrocha;0111005;P1;incident;Application;closed;2026-04-01;2026-04-01 03:53:29;0;17;XStore;PRD;0,06;111006;N/A;2026-04-06 14:04:24;N;;
Farmacia Arrocha;0111006;P1;problem;Application;resolved;2026-04-01;2026-04-01 03:53:27;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111070;P1;incident;Application;closed;2026-04-02;2026-04-02 03:33:24;0;19;XStore;PRD;0,06;110891;N/A;2026-04-10 09:04:53;Y;;
Farmacia Arrocha;0111091;P3;user_request;Support;closed;2026-04-02;2026-04-13 21:35:43;0;463;XStore;PRD;0,06;;N/A;2026-04-21 09:04:41;Y;;
Farmacia Arrocha;0111162;P4;problem;Application;waiting_oracle_feedback;2026-04-06;;;;Infrastructure;PRD;0,56;;N/A;;N;;
Farmacia Arrocha;0111199;P3;incident;Application;closed;2026-04-06;2026-04-13 21:32:22;0;1396;XStore;PRD;0,31;111484;N/A;2026-04-20 19:04:10;N;;
Farmacia Arrocha;0111269;P2;incident;Application;closed;2026-04-07;;0;3336;XStore;PRD;0,22;;N/A;2026-05-07 09:05:37;Y;;
Farmacia Arrocha;0111326;P2;user_request;Application;closed;2026-04-08;;0;355;XStore;PRD;0,16;;N/A;2026-04-23 09:04:36;Y;;
Farmacia Arrocha;0111333;P2;user_request;Application;closed;2026-04-08;2026-04-15 18:44:52;0;586;XStore;PRD;0,88;;N/A;2026-04-23 09:04:36;Y;;
Farmacia Arrocha;0111360;P2;incident;Application;closed;2026-04-09;2026-04-25 01:04:42;0;3351;XStore;PRD;1,50;112125;N/A;2026-05-03 09:05:40;Y;;
Farmacia Arrocha;0111361;P3;incident;Application;closed;2026-04-09;2026-04-13 21:31:15;0;1140;XStore;PRD;0,59;111484;N/A;2026-04-15 18:04:42;N;;
Farmacia Arrocha;0111375;P2;incident;Application;closed;2026-04-09;2026-04-14 18:38:17;0;494;XStore;PRD;0,13;111569;N/A;2026-04-20 19:04:37;N;;
Farmacia Arrocha;0111376;P3;incident;Application;closed;2026-04-09;2026-04-13 21:30:19;0;704;XStore;PRD;0,16;111484;N/A;2026-04-20 19:04:32;N;;
Farmacia Arrocha;0111379;P2;incident;Application;closed;2026-04-09;2026-04-13 21:04:19;0;391;XStore;PRD;0,13;111498;N/A;2026-04-21 09:04:42;Y;;
Farmacia Arrocha;0111401;P2;incident;Application;closed;2026-04-10;2026-04-13 21:17:58;0;390;XStore;PRD;0,25;111503;N/A;2026-04-20 19:04:51;N;;
Farmacia Arrocha;0111408;P2;incident;Application;closed;2026-04-10;2026-04-14 18:31:19;0;354;XStore;PRD;0,28;111568;N/A;2026-04-22 09:04:42;Y;;
Farmacia Arrocha;0111424;P2;user_request;Application;closed;2026-04-10;;0;935;XStore;PRD;0,47;;N/A;2026-04-29 09:04:38;Y;;
Farmacia Arrocha;0111439;P1;incident;Support;closed;2026-04-12;2026-04-13 22:45:18;0;123;XStore;PRD;0,28;111504;N/A;2026-04-21 09:04:44;Y;;
Farmacia Arrocha;0111484;P3;problem;Application;resolved;2026-04-13;2026-04-24 20:58:50;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111489;P2;user_request;Support;closed;2026-04-13;2026-04-13 21:13:50;0;60;XStore;PRD;0,09;;N/A;2026-04-21 09:04:45;Y;;
Farmacia Arrocha;0111498;P2;problem;Application;resolved;2026-04-13;2026-04-13 21:11:49;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111503;P2;problem;Application;resolved;2026-04-13;2026-04-13 21:18:35;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111504;P1;problem;Support;waiting_client_feedback;2026-04-13;;0;;XStore;PRD;0,13;;N/A;;N;;
Farmacia Arrocha;0111568;P2;problem;Application;resolved;2026-04-14;2026-04-15 15:26:11;0;;XStore;PRD;0,03;;N/A;;N;;
Farmacia Arrocha;0111569;P2;problem;Application;resolved;2026-04-14;2026-04-14 18:38:49;0;;XStore;PRD;0,00;;N/A;;N;;
Farmacia Arrocha;0111638;P2;incident;Application;closed;2026-04-15;2026-04-16 17:29:39;0;283;XStore;PRD;0,03;111484;N/A;2026-04-24 09:04:38;Y;;
Farmacia Arrocha;0111680;P2;incident;Application;closed;2026-04-16;2026-04-20 15:44:06;0;392;XStore;PRD;0,13;111846;N/A;2026-04-20 19:04:16;N;;
Farmacia Arrocha;0111695;P2;user_request;Application;closed;2026-04-16;;0;475;XStore;QA;0,38;;N/A;2026-05-02 09:05:39;Y;;
Farmacia Arrocha;0111699;P2;incident;Application;closed;2026-04-16;2026-04-17 10:51:50;0;99;XStore;PRD;0,09;111730;N/A;2026-04-21 14:04:52;N;;
Farmacia Arrocha;0111985;P2;incident;Application;closed;2026-04-22;;0;443;XStore;PRD;0,19;;N/A;2026-05-01 09:05:38;Y;;
Farmacia Arrocha;0112068;P2;incident;Application;closed;2026-04-24;2026-04-24 20:59:31;0;111;XStore;PRD;0,06;111484;N/A;2026-05-02 09:05:41;Y;;
Farmacia Arrocha;0112109;P3;incident;Application;closed;2026-04-24;;0;379;XStore;PRD;0,28;;N/A;2026-05-05 09:05:40;Y;;
Farmacia Arrocha;0112125;P2;problem;Application;resolved;2026-04-25;2026-04-25 01:07:01;0;;XStore;PRD;0,00;;N/A;;N;;
Farmacia Arrocha;0112230;P2;user_request;Application;waiting_client_feedback;2026-04-27;;0;;XStore;PRD;0,00;;N/A;2026-05-06 09:05:34;Y;;
Farmacia Arrocha;0112380;P1;user_request;Application;closed;2026-04-29;;0;755;XStore;PRD;0,06;;N/A;2026-05-08 09:05:37;Y;;
